Name,AgeinMonths,Observation,Video,SessionID,BoutID,Initiator,floor,infant,Distance,PercentWalk
A,10,A_10,A_10_1,13,69,parent,0,0,0.309977217,0
A,10,A_10,A_10_1,14,70,parent,0,1,0.282399916,0
A,10,A_10,A_10_1,15,72,parent,0,1,0.165789546,0
A,10.5,A_10.5,A_10.5_1,1,1,parent,0,0,0.199070887,0
A,10.5,A_10.5,A_10.5_1,2,3,parent,1,1,0.395561681,0
A,10.5,A_10.5,A_10.5_1,2,5,infant,0,1,0.403513376,0
A,10.5,A_10.5,A_10.5_1,2,8,parent,1,2,0.354711954,0
A,10.5,A_10.5,A_10.5_1,4,10,parent,1,1,0.375749685,0
A,10.5,A_10.5,A_10.5_1,4,11,parent,1,1,0.442451712,0
A,10.5,A_10.5,A_10.5_1,4,12,parent,0,1,0.36725707,0
A,10.5,A_10.5,A_10.5_1,5,13,parent,0,1,0.303288522,0
A,10.5,A_10.5,A_10.5_1,5,14,infant,0,1,0.364084169,0
A,10.5,A_10.5,A_10.5_1,5,15,infant,0,0,0.305255132,0
A,10.5,A_10.5,A_10.5_1,5,16,infant,0,1,0.369182679,0
A,10.5,A_10.5,A_10.5_1,6,17,parent,0,1,0.361961646,0
A,10.5,A_10.5,A_10.5_1,7,19,parent,0,0,0.270632543,0
A,10.5,A_10.5,A_10.5_1,8,21,parent,0,1,0.279243078,0
A,10.5,A_10.5,A_10.5_1,8,22,infant,0,1,0.274814063,0
A,10.5,A_10.5,A_10.5_1,9,23,parent,0,1,0.432491793,0
A,10.5,A_10.5,A_10.5_1,9,26,infant,0,0,0.171638067,0
A,10.5,A_10.5,A_10.5_1,11,31,parent,0,1,0.383747692,0
A,10.5,A_10.5,A_10.5_1,12,32,parent,0,0,0.412291836,0
A,10.5,A_10.5,A_10.5_1,12,33,infant,0,0,0.409835708,0
A,10.5,A_10.5,A_10.5_1,13,34,infant,0,0,0.508072746,0
A,10.5,A_10.5,A_10.5_1,13,35,parent,0,0,0.403122177,0
A,10.5,A_10.5,A_10.5_1,13,38,parent,0,0,0.333020274,0
A,10.5,A_10.5,A_10.5_1,13,39,infant,0,0,0.244880712,0
A,10.5,A_10.5,A_10.5_1,14,44,parent,0,0,0.390995231,0
A,10.5,A_10.5,A_10.5_1,15,45,infant,1,0,0.547348702,0
A,10.5,A_10.5,A_10.5_1,16,47,parent,0,0,1.23412249,0
A,10.5,A_10.5,A_10.5_1,16,48,parent,0,1,0.46338955,0
A,10.5,A_10.5,A_10.5_2,18,1,parent,0,0,0.588074949,0
A,10.5,A_10.5,A_10.5_2,18,2,parent,0,1,0.182350616,0
A,10.5,A_10.5,A_10.5_2,19,4,parent,0,1,0.30192925,0
A,10.5,A_10.5,A_10.5_2,19,5,infant,0,1,0.281692436,0
A,10.5,A_10.5,A_10.5_2,20,6,parent,0,0,0.333124547,0
A,10.5,A_10.5,A_10.5_2,21,7,parent,1,1,0.778873405,0
A,10.5,A_10.5,A_10.5_2,22,8,parent,0,1,0.282668894,0
A,10.5,A_10.5,A_10.5_2,22,9,parent,0,1,0.34378224,0
A,10.5,A_10.5,A_10.5_2,23,13,infant,0,0,0.43037053,0
A,10.5,A_10.5,A_10.5_2,23,18,parent,0,0,0.151193415,0
A,10.5,A_10.5,A_10.5_2,24,19,parent,0,1,0.225601002,0
A,10.5,A_10.5,A_10.5_2,25,20,parent,0,0,0.143707376,0
A,10.5,A_10.5,A_10.5_2,25,21,parent,0,1,0.20418853,0
A,10.5,A_10.5,A_10.5_2,25,23,parent,0,2,0.212477925,0
A,11,A_11,A_11_1,1,1,infant,0,2,0.285456847,0
A,11,A_11,A_11_1,1,2,parent,0,2,0.278404134,0
A,11,A_11,A_11_1,2,3,parent,0,0,0.655689869,0
A,11,A_11,A_11_1,2,4,parent,0,0,0.352223603,0
A,11,A_11,A_11_1,2,5,parent,0,0,0.561911961,0
A,11,A_11,A_11_1,3,8,parent,0,0,0.646974707,0
A,11,A_11,A_11_1,3,9,infant,0,0,0.571970077,0
A,11,A_11,A_11_1,3,10,infant,0,0,0.682905577,0
A,11,A_11,A_11_1,3,11,parent,2,0,0.815630936,0
A,11,A_11,A_11_1,4,12,infant,0,2,0.371442487,0
A,11,A_11,A_11_1,5,13,infant,0,2,2.569683035,0
A,11,A_11,A_11_1,5,14,infant,0,0,1.19578924,0
A,11,A_11,A_11_1,5,15,parent,0,1,0.153983851,0
A,11,A_11,A_11_1,5,16,parent,0,2,0.184050083,0
A,11,A_11,A_11_1,6,18,infant,0,1,0.444024021,0
A,11,A_11,A_11_1,6,19,infant,0,1,0.189012356,0
A,11,A_11,A_11_1,7,20,parent,0,1,0.327678772,0
A,11,A_11,A_11_1,8,21,infant,0,1,0.318978977,0
A,11,A_11,A_11_1,8,22,infant,0,1,0.246243279,0
A,11,A_11,A_11_1,8,23,parent,0,1,0.395687382,0
A,11,A_11,A_11_1,8,25,infant,0,1,0.403043638,0
A,11,A_11,A_11_1,8,26,parent,0,1,0.499111301,0
A,11,A_11,A_11_1,8,27,parent,0,1,0.427259458,0
A,11,A_11,A_11_1,9,29,infant,0,0,0.30836185,0
A,11,A_11,A_11_1,9,31,infant,0,0,0.196879398,0
A,11,A_11,A_11_1,9,32,parent,0,0,0.206101929,0
A,11,A_11,A_11_1,9,33,infant,0,1,0.4316816,0
A,11,A_11,A_11_1,10,34,parent,0,1,0.384568067,0
A,11,A_11,A_11_1,11,36,parent,0,0,0.274416975,0
A,11,A_11,A_11_1,12,37,parent,0,1,0.323706291,0
A,11,A_11,A_11_1,13,38,infant,0,0,0.249144713,0
A,11,A_11,A_11_1,13,39,parent,0,0,0.196941384,0
A,11,A_11,A_11_1,13,40,infant,0,0,1.019245454,0
A,11,A_11,A_11_1,13,41,infant,0,0,0.761696898,0
A,11,A_11,A_11_1,13,42,parent,0,0,0.29242686,0
A,11,A_11,A_11_1,14,44,infant,0,0,0.577905342,0
